PREVENT Tier,hsCRP Category,N,All-Cause Deaths,AC Mortality Rate,CV Deaths,CV Mortality Rate,Mean Follow-up (yrs)
Low,<1 mg/L,2971,67,2.3%,13,0.4%,10.6
Low,1-3 mg/L,3088,96,3.1%,13,0.4%,10.8
Low,>3 mg/L,2282,75,3.3%,10,0.4%,10.6
Borderline-Intermediate,<1 mg/L,1147,149,13.0%,34,3.0%,9.7
Borderline-Intermediate,1-3 mg/L,1887,283,15.0%,64,3.4%,10.0
Borderline-Intermediate,>3 mg/L,1648,271,16.4%,78,4.7%,9.8
High,<1 mg/L,268,96,35.8%,23,8.6%,8.7
High,1-3 mg/L,437,163,37.3%,58,13.3%,9.1
High,>3 mg/L,396,164,41.4%,42,10.6%,8.5
