PREVENT_Tier,CRP_Category,HR,CI_Lower,CI_Upper,P_Value,N,Events,HR_CI,Model
Low,1-3 mg/L,1.18,0.92,1.5,0.1918,8341,238,1.18 (0.92–1.50),Unadjusted
Low,>3 mg/L,1.25,0.96,1.62,0.0959,8341,238,1.25 (0.96–1.62),Unadjusted
Borderline-Intermediate,1-3 mg/L,1.08,0.9,1.29,0.4297,4682,703,1.08 (0.90–1.29),Unadjusted
Borderline-Intermediate,>3 mg/L,1.21,1.0,1.45,0.0469,4682,703,1.21 (1.00–1.45),Unadjusted
High,1-3 mg/L,0.97,0.76,1.23,0.7789,1101,423,0.97 (0.76–1.23),Unadjusted
High,>3 mg/L,1.18,0.92,1.51,0.1868,1101,423,1.18 (0.92–1.51),Unadjusted
Low,1-3 mg/L,1.19,0.93,1.52,0.1666,8341,238,1.19 (0.93–1.52),Adjusted
Low,>3 mg/L,1.39,1.06,1.83,0.0180,8341,238,1.39 (1.06–1.83),Adjusted
Borderline-Intermediate,1-3 mg/L,1.17,0.97,1.41,0.1001,4682,703,1.17 (0.97–1.41),Adjusted
Borderline-Intermediate,>3 mg/L,1.43,1.18,1.74,0.0003,4682,703,1.43 (1.18–1.74),Adjusted
High,1-3 mg/L,0.98,0.76,1.25,0.8475,1101,423,0.98 (0.76–1.25),Adjusted
High,>3 mg/L,1.25,0.97,1.62,0.0846,1101,423,1.25 (0.97–1.62),Adjusted
Low,1-3 mg/L,1.74,1.15,2.62,0.0083,8341,238,1.74 (1.15–2.62),Adjusted (Weighted)
Low,>3 mg/L,2.38,1.42,3.98,0.0010,8341,238,2.38 (1.42–3.98),Adjusted (Weighted)
Borderline-Intermediate,1-3 mg/L,1.21,0.94,1.57,0.1417,4682,703,1.21 (0.94–1.57),Adjusted (Weighted)
Borderline-Intermediate,>3 mg/L,1.52,1.14,2.02,0.0046,4682,703,1.52 (1.14–2.02),Adjusted (Weighted)
High,1-3 mg/L,0.94,0.7,1.25,0.6580,1101,423,0.94 (0.70–1.25),Adjusted (Weighted)
High,>3 mg/L,1.31,0.95,1.79,0.0949,1101,423,1.31 (0.95–1.79),Adjusted (Weighted)
